kode_kategori,raw_score,ach,def,ord,exh,aut,aff,int,suc,dom,aba,nur,chg,end,het,agg,con
1,0,,,,,,,,,,,,,,,,
1,1,,,1,,,,,1,,1,,,,,,
1,2,,,3,,,,,2,,2,,,1,,1,
1,3,,1,6,,,,,5,,3,1,,3,,2,
1,4,,3,9,,1,1,,9,1,5,2,1,6,1,3,
1,5,,6,14,,2,2,1,13,2,9,3,2,10,2,6,
1,6,1,10,19,1,3,3,4,20,3,12,6,3,13,3,9,1
1,7,2,16,27,3,6,4,5,27,4,18,10,5,18,5,13,3
1,8,4,23,36,6,11,7,9,34,5,24,13,7,24,6,17,6
1,9,7,34,46,9,15,11,13,42,8,31,18,10,29,9,24,15
1,10,10,43,54,15,22,16,17,50,9,38,24,15,37,12,32,27
1,11,16,52,63,21,38,21,19,58,13,45,31,20,44,14,40,46
1,12,22,63,71,28,34,28,25,65,17,53,7,28,51,19,47,68
1,13,30,73,78,37,43,36,32,72,21,61,46,33,57,3,57,86
1,14,40,81,84,49,52,45,39,78,27,67,55,41,64,27,65,96
1,15,50,88,88,62,61,54,45,83,32,75,63,50,69,32,72,99
1,16,58,93,92,72,68,64,51,87,38,79,70,57,75,39,77,99
1,17,66,96,95,81,76,72,57,90,45,84,75,64,79,45,84,99
1,18,74,98,96,89,82,79,64,93,54,88,82,71,85,53,88,99
1,19,83,99,97,93,86,84,72,95,63,92,86,78,89,59,92,99
1,20,86,99,99,97,91,89,78,97,73,94,90,84,92,67,95,99
1,21,91,99,99,98,94,93,84,98,79,97,94,89,94,73,97,99
1,22,95,99,99,99,96,96,89,98,85,99,96,93,96,81,98,99
1,23,98,99,99,99,98,98,93,98,91,99,98,97,98,89,99,99
1,24,99,99,99,99,99,99,95,98,94,99,99,98,99,90,99,99
1,25,99,99,99,99,99,99,97,98,98,99,99,99,99,93,99,99
1,26,99,99,99,99,99,99,99,98,99,99,99,99,99,96,99,99
1,27,99,99,99,99,99,99,99,98,99,99,99,99,99,99,99,99
1,28,99,99,99,99,99,99,99,98,99,99,99,99,99,99,99,99
2,0,,,,,,,,,,,,,,,,
2,1,,,1,,,,,,,,,,,,1,
2,2,,,3,,,,,,,,,,1,1,2,
2,3,1,1,5,,1,,,1,1,,,,3,2,5,
2,4,2,2,9,,3,,,3,2,1,,,5,3,9,
2,5,3,3,14,,6,,,6,3,2,1,1,9,5,14,
2,6,5,6,20,1,9,,,9,5,4,2,2,13,8,21,1
2,7,8,9,28,3,13,1,1,13,9,7,2,3,18,11,27,2
2,8,13,14,37,6,20,2,3,18,11,11,3,4,24,15,36,4
2,9,19,21,46,10,28,3,5,25,17,14,6,7,30,19,44,11
2,10,27,29,55,15,36,4,9,33,23,19,9,10,36,24,51,24
2,11,36,41,64,21,45,7,12,44,28,25,14,13,44,31,60,43
2,12,47,50,70,30,53,12,16,51,36,31,20,17,50,38,66,63
